element_id,grouped_element_key,task,level,takt_zone_id,allocation_room,source_category,source_original_category,quantity,quantity_unit,allocation_method,split_from_element_id,split_share
1287494,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287495,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287496,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287497,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287498,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287499,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287940,mep-assembly:1440371:y-long,MEP,L 1,L 1 Takt Zone 11,L 1 Room 145,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1288014,mep-assembly:1773274:y-long,MEP,L 1,L 1 Takt Zone 14,L 1 Room 206,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1288015,mep-assembly:1773274:balanced,MEP,L 1,L 1 Takt Zone 14,L 1 Room 206,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1288317,mep-assembly:1773267:y-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Ducts,,1.0,EA,nearest centroid fallback,,1.0
1288324,mep-assembly:1773267:y-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Ducts,,1.0,EA,nearest centroid fallback,,1.0
1288335,mep-assembly:1773267:y-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1288338,mep-assembly:1773267:x-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Ducts,,1.0,EA,nearest centroid fallback,,1.0
1288496,mep-assembly:1773267:y-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1288498,mep-assembly:1773267:balanced,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1288499,mep-assembly:1773267:x-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1288531,mep-assembly:1773267:x-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1288555,mep-assembly:1773267:x-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1289213,mep-assembly:1773440:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 211,Ducts,,1.0,EA,nearest centroid fallback,,1.0
1289223,mep-assembly:1773440:balanced,MEP,L 1,L 1 Takt Zone 12,L 1 Room 211,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1289262,mep-assembly:1773267:x-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Ducts,,1.0,EA,nearest centroid fallback,,1.0
1289320,mep-assembly:1773267:y-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1289344,mep-assembly:1773267:y-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1289345,mep-assembly:1773267:x-long,MEP,L 1,L 1 Takt Zone 13,L 1 Room 199,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1290218,mep-assembly:1440388:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 162,Air Terminals,,1.0,EA,nearest centroid fallback,,1.0
1290250,mep-assembly:1440388:y-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 162,Duct Fittings,,1.0,EA,nearest centroid fallback,,1.0
1290484,mep-assembly:1440372:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290594,mep-assembly:1440376:y-long,MEP,L 1,L 1 Takt Zone 8,L 1 Room 150,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290595,mep-assembly:1773269:y-long,MEP,L 1,L 1 Takt Zone 8,L 1 Room 201,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290630,mep-assembly:1440394:y-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 168,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290639,mep-assembly:1440394:x-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 168,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290680,mep-assembly:1440394:x-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 168,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290694,mep-assembly:1440394:y-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 168,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290710,mep-assembly:1440394:x-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 168,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290717,mep-assembly:1440395:y-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 169,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290718,mep-assembly:1440395:x-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 169,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290719,mep-assembly:1440395:x-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 169,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290720,mep-assembly:1440395:y-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 169,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290725,mep-assembly:1440395:x-long,MEP,L 1,L 1 Takt Zone 1,L 1 Room 169,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290747,mep-assembly:1440396:y-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 170,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290748,mep-assembly:1440396:x-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 170,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290749,mep-assembly:1440396:x-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 170,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290750,mep-assembly:1440396:y-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 170,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290755,mep-assembly:1440396:x-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 170,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290764,mep-assembly:1440397:y-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 171,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290765,mep-assembly:1440397:x-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 171,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290766,mep-assembly:1440397:x-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 171,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290767,mep-assembly:1440397:y-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 171,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290772,mep-assembly:1440397:x-long,MEP,L 1,L 1 Takt Zone 2,L 1 Room 171,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290781,mep-assembly:1440398:y-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 172,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290782,mep-assembly:1440398:x-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 172,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290783,mep-assembly:1440398:y-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 172,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290784,mep-assembly:1440398:y-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 172,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290789,mep-assembly:1440398:x-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 172,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290798,mep-assembly:1440399:y-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 173,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290799,mep-assembly:1440399:x-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 173,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290800,mep-assembly:1440399:y-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 173,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290801,mep-assembly:1440399:y-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 173,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290806,mep-assembly:1440399:x-long,MEP,L 1,L 1 Takt Zone 3,L 1 Room 173,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290815,mep-assembly:1440400:y-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 174,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290816,mep-assembly:1440400:x-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 174,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290817,mep-assembly:1440400:y-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 174,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290818,mep-assembly:1440400:y-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 174,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290823,mep-assembly:1440400:x-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 174,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290832,mep-assembly:1440401:y-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 175,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290833,mep-assembly:1440401:x-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 175,Ducts,,1.0,EA,centroid in room polygon,,1.0
