ID,NAME,CATALOG ID,DESCRIPTION,CATEGORY,SUB CATEGORY,MEASURE UNIT,Vendor,Default Vendor,Pref Vendor,Vendor SKU/Part #,Vendor Description,Vendor Item Cost,Vendor Lead Time
MEP_AIR_TERMINALS_KLIMATBYR_C3_A5N_AIRVENT_NETAVENT_NAPT_RFA_2026_LEVELBASED_NAPT_200_8_Ø,"MEP Air Terminals | Klimatbyr%c3%a5n_Airvent_Netavent_NAPT_RFA_2026_LevelBased | NAPT-200 | 8""ø",PART-MEP_AIR_TERMINALS-0E5488F0,"MEP rough-in part for Air Terminals | Klimatbyr%c3%a5n_Airvent_Netavent_NAPT_RFA_2026_LevelBased | NAPT-200 | 8""ø",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_PRICE_40FF_FILTER_FRAME_STAMPED_RESIDENTIAL_GRILLE_RETURN_HOSTED_08X30_30_X6,"MEP Air Terminals | PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted | 08x30'' | 30""x6""",PART-MEP_AIR_TERMINALS-B84D47E1,"MEP rough-in part for Air Terminals | PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted | 08x30'' | 30""x6""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_PRICE_40FF_FILTER_FRAME_STAMPED_RESIDENTIAL_GRILLE_RETURN_HOSTED_08X30_40_X5,"MEP Air Terminals | PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted | 08x30'' | 40""x5""",PART-MEP_AIR_TERMINALS-8F42456B,"MEP rough-in part for Air Terminals | PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted | 08x30'' | 40""x5""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_PRICE_40FF_FILTER_FRAME_STAMPED_RESIDENTIAL_GRILLE_RETURN_HOSTED_08X30_40_X6,"MEP Air Terminals | PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted | 08x30'' | 40""x6""",PART-MEP_AIR_TERMINALS-BC7EEA09,"MEP rough-in part for Air Terminals | PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted | 08x30'' | 40""x6""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_RETURN_DIFFUSER_12_X_12_CONNECTION_2_6_X6,"MEP Air Terminals | Return Diffuser | 12 x 12 Connection 2 | 6""x6""",PART-MEP_AIR_TERMINALS-26869EBB,"MEP rough-in part for Air Terminals | Return Diffuser | 12 x 12 Connection 2 | 6""x6""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_RETURN_DIFFUSER_24_X_24_FACE_12_X_12_CONNECTION_12_X12,"MEP Air Terminals | Return Diffuser | 24 x 24 Face 12 x 12 Connection | 12""x12""",PART-MEP_AIR_TERMINALS-DF0CB2DC,"MEP rough-in part for Air Terminals | Return Diffuser | 24 x 24 Face 12 x 12 Connection | 12""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_RETURN_DIFFUSER_6X6_CONNECTION_3_4_X4,"MEP Air Terminals | Return Diffuser | 6x6 Connection 3 | 4""x4""",PART-MEP_AIR_TERMINALS-2DB2F987,"MEP rough-in part for Air Terminals | Return Diffuser | 6x6 Connection 3 | 4""x4""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_RETURN_DIFFUSER_ON_DUCT_3_4_X4,"MEP Air Terminals | Return Diffuser | on duct 3 | 4""x4""",PART-MEP_AIR_TERMINALS-26DC08DC,"MEP rough-in part for Air Terminals | Return Diffuser | on duct 3 | 4""x4""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_SUPPLY_DIFFUSER_12X12_CONNECTION_2_6_X6,"MEP Air Terminals | Supply Diffuser | 12x12 Connection 2 | 6""x6""",PART-MEP_AIR_TERMINALS-C372A555,"MEP rough-in part for Air Terminals | Supply Diffuser | 12x12 Connection 2 | 6""x6""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_SUPPLY_DIFFUSER_6X6_CONNECTION_3_3_X3,"MEP Air Terminals | Supply Diffuser | 6x6 Connection 3 | 3""x3""",PART-MEP_AIR_TERMINALS-AC96EF49,"MEP rough-in part for Air Terminals | Supply Diffuser | 6x6 Connection 3 | 3""x3""",Parts,MEP Rough-In,EACH,,,,,,,
