part_id,part_name,catalog_id,category,sub_category,measure_unit,element_count,takeoff_quantity,takeoff_unit,total_area_sf,total_volume_cf,element_ids
EXTW_L_NEG_1_WALL,Exterior Wall L -1 - Wall Panel,PART-EXTW_L_NEG_1_WALL,Parts,Prefab Envelope,EACH,23,23.0,EACH,2989.0,1616.3,1403659|1404538|1516212|1642597|1774968|1781235|1781357|1944229|1944285|1944371|1944466|1944945|1945027|1945117|1945336|1945644|1946440|2000202|2000241|2184865|2184993|2185404|2185605
EXTW_L_NEG_1_MULLION-L,Exterior Wall L -1 - Mullion Lengthwise,PART-EXTW_L_NEG_1_MULLION_L,Parts,Prefab Envelope,EACH,24,24.0,EACH,120.0,16.56,1944486|1944488|1944493|1944494|1944953|1944954|1944955|1945035|1945036|1945037|1945129|1945130|1945131|1945132|1945344|1945345|1945346|1945652|1945653|1945654|1946452|1946453|1946454|1946455
EXTW_L_NEG_1_MULLION-B,Exterior Wall L -1 - Mullion Breadthwise,PART-EXTW_L_NEG_1_MULLION_B,Parts,Prefab Envelope,EACH,34,34.0,EACH,94.0,11.28,1944480|1944481|1944482|1944483|1944484|1944485|1944949|1944950|1944951|1944952|1945031|1945032|1945033|1945034|1945123|1945124|1945125|1945126|1945127|1945128|1945340|1945341|1945342|1945343|1945648|1945649|1945650|1945651|1946446|1946447|1946448|1946449|1946450|1946451
EXTW_L_NEG_1_GLAZED-PANEL,Exterior Wall L -1 - Glazed Panel,PART-EXTW_L_NEG_1_GLAZED_PANEL,Parts,Prefab Envelope,EACH,17,17.0,EACH,498.0,41.42,1944467|1944471|1944473|1944946|1944948|1945028|1945030|1945118|1945120|1945122|1945337|1945339|1945645|1945647|1946441|1946443|1946445
EXTW_L_0_WALL,Exterior Wall L 0 - Wall Panel,PART-EXTW_L_0_WALL,Parts,Prefab Envelope,EACH,36,36.0,EACH,4155.0,1438.3,1533211|1619541|1717415|1717566|1721183|1776273|1778122|1783843|1787151|1789249|1789371|1926527|1936236|1936999|1937479|1937506|1937722|1937749|1937891|1937918|1938062|1938089|1938168|1938195|1947262|1947646|1949146|1949173|1952948|1953539|1992813|1993027|2001613|2126039|2126489|2195425
EXTW_L_0_MULLION-L,Exterior Wall L 0 - Mullion Lengthwise,PART-EXTW_L_0_MULLION_L,Parts,Prefab Envelope,EACH,88,88.0,EACH,400.0,56.22,1721562|1721565|1721637|1721646|1721673|1721674|1721675|1721679|1721680|1721681|1778143|1778145|1778150|1778151|1787177|1787178|1787179|1787180|1787185|1787186|1787187|1787188|1787189|1787190|1789260|1789261|1789262|1789263|1789382|1789383|1789384|1789385|1918023|1918025|1918027|1918029|1918031|1926905|1926906|1926907|1926908|1926909|1937495|1937497|1937502|1937503|1937738|1937740|1937745|1937746|1937907|1937909|1937914|1937915|1938078|1938080|1938085|1938086|1938184|1938186|1938191|1938192|1947282|1947284|1947289|1947654|1947655|1947656|1949162|1949164|1949169|1949170|1949460|1949461|1952954|1952955|1952956|1952957|1953545|1953546|1953547|1953548|2126045|2126047|2126250|2126493|2126494|2126499
EXTW_L_0_MULLION-B,Exterior Wall L 0 - Mullion Breadthwise,PART-EXTW_L_0_MULLION_B,Parts,Prefab Envelope,EACH,106,106.0,EACH,297.0,36.59,1721649|1721650|1721651|1721652|1769283|1769284|1769285|1769286|1769291|1769292|1769293|1769294|1778137|1778138|1778139|1778140|1778141|1778142|1787169|1787170|1787171|1787172|1787173|1787174|1787175|1787176|1787181|1787182|1787183|1787184|1789258|1789259|1789264|1789380|1789381|1789386|1918033|1918034|1918035|1918036|1926910|1926911|1926912|1926913|1937489|1937490|1937491|1937492|1937493|1937494|1937732|1937733|1937734|1937735|1937736|1937737|1937901|1937902|1937903|1937904|1937905|1937906|1938072|1938073|1938074|1938075|1938076|1938077|1938178|1938179|1938180|1938181|1938182|1938183|1947276|1947277|1947279|1947280|1947650|1947651|1947652|1947653|1949156|1949157|1949158|1949159|1949160|1949161|1949454|1949455|1949456|1949457|1952952|1952953|1952958|1953543|1953544|1953549|2126043|2126044|2126248|2126249|2126491|2126492|2126497|2126498
EXTW_L_0_GLAZED-PANEL,Exterior Wall L 0 - Glazed Panel,PART-EXTW_L_0_GLAZED_PANEL,Parts,Prefab Envelope,EACH,63,63.0,EACH,1776.0,147.68,1721556|1721567|1721569|1721571|1721581|1721582|1721583|1721584|1778123|1778128|1778130|1787152|1787157|1787159|1787161|1787163|1787164|1787165|1787166|1789250|1789255|1789372|1789377|1918001|1918002|1918003|1918004|1926889|1926890|1926891|1926892|1937480|1937482|1937484|1937723|1937725|1937727|1937892|1937894|1937896|1938063|1938065|1938067|1938169|1938171|1938173|1947263|1947267|1947647|1947649|1949147|1949149|1949151|1949438|1949441|1952949|1952951|1953540|1953542|2126040|2126242|2126490|2126496
EXTW_L_1_WALL,Exterior Wall L 1 - Wall Panel,PART-EXTW_L_1_WALL,Parts,Prefab Envelope,EACH,48,48.0,EACH,3365.0,921.25,1249235|1249833|1525036|1525472|1623960|1624682|1927220|1928004|1930738|1931297|1934568|1934742|1934812|1934939|1935007|1935081|1935149|1935217|1935285|1935353|1935421|1935489|1935598|1938614|1938800|1939373|1939481|1940420|1940668|1940760|1941093|1941152|1941342|1941401|1941460|1941517|1941766|1941883|1946656|1946858|1993594|1994221|2193600|2193801|2194057|2194387|2194567|2194568
EXTW_L_1_MULLION-L,Exterior Wall L 1 - Mullion Lengthwise,PART-EXTW_L_1_MULLION_L,Parts,Prefab Envelope,EACH,96,96.0,EACH,376.0,56.78,1622171|1622172|1622195|1622196|1622200|1622201|1622202|1622203|1931409|1931410|1931436|1934576|1934577|1934578|1934750|1934751|1934752|1934820|1934821|1934822|1934947|1934948|1934949|1935015|1935016|1935017|1935089|1935090|1935091|1935157|1935158|1935159|1935225|1935226|1935227|1935293|1935294|1935295|1935361|1935362|1935363|1935429|1935430|1935431|1935497|1935498|1935499|1935606|1935607|1935608|1938622|1938623|1938624|1938808|1938809|1938810|1939381|1939382|1939383|1939489|1939490|1939491|1940428|1940429|1940430|1940676|1940677|1940678|1940768|1940769|1940770|1941101|1941102|1941103|1941160|1941161|1941162|1941350|1941351|1941352|1941409|1941410|1941411|1941468|1941469|1941470|1941525|1941526|1941527|1941774|1941775|1941776|1941862|1941891|1941892|1941893
