delivery_unit_id,need_ts,volume_cf,storage_area_sf,element_count,takt_zones,levels,disciplines,categories,first_task,source,need_date
PO-000111:MEP_L_NEG_1_G054,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 054,Production Order,2029-12-05
PO-000112:MEP_L_NEG_1_G055,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 055,Production Order,2029-12-05
PO-000113:MEP_L_NEG_1_G056,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 056,Production Order,2029-12-05
PO-000114:MEP_L_NEG_1_G057,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 057,Production Order,2029-12-05
PO-000115:MEP_L_NEG_1_G058,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 058,Production Order,2029-12-05
PO-000116:MEP_L_NEG_1_G059,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 059,Production Order,2029-12-05
PO-000117:MEP_L_NEG_1_G060,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 060,Production Order,2029-12-05
PO-000118:MEP_L_NEG_1_G061,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 061,Production Order,2029-12-05
PO-000119:MEP_L_NEG_1_G062,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 062,Production Order,2029-12-05
PO-000120:MEP_L_NEG_1_G063,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 063,Production Order,2029-12-05
PO-000121:MEP_L_NEG_1_G064,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 064,Production Order,2029-12-05
PO-000122:MEP_L_NEG_1_G065,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 065,Production Order,2029-12-05
PO-000123:MEP_L_NEG_1_G066,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 066,Production Order,2029-12-05
PO-000124:MEP_L_NEG_1_G067,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 067,Production Order,2029-12-05
PO-000125:MEP_L_NEG_1_G068,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 068,Production Order,2029-12-05
PO-000126:MEP_L_NEG_1_G069,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 069,Production Order,2029-12-05
PO-000127:MEP_L_NEG_1_G070,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 070,Production Order,2029-12-05
PO-000128:MEP_L_NEG_1_G071,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 071,Production Order,2029-12-05
PO-000129:MEP_L_NEG_1_G072,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 072,Production Order,2029-12-05
PO-000130:STRUCT_FLOOR_L_1_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,2029-12-05 00:00:00,0.0,0.0,24.0,,,,,"Structural Floor L 1 | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-05
PO-000131:STRUCT_FRAME_10_0_STRUCTURAL_BAMBOO_CLB,2029-12-05 00:00:00,86.24000000000001,0.0,5.0,,,Structural,Structural Framing,"Structural Framing 10' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-05
1951580,2029-12-05 14:00:00,445.73,2038.0,1.0,L -1 Zone 5,L -1,Architecture,Ceilings,Ceiling Installation,Micro Schedule Fallback,2029-12-05
PO-000132:MEP_L_NEG_1_G073,2029-12-06 00:00:00,0.86,10.0,3.0,L -1 Zone 3,L -1,MEP,Plumbing Fixtures,MEP Rough-In L -1 Group 073,Production Order,2029-12-06
PO-000133:MEP_L_NEG_1_G074,2029-12-06 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 074,Production Order,2029-12-06
PO-000134:MEP_L_NEG_1_G075,2029-12-06 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 075,Production Order,2029-12-06
PO-000135:MEP_L_NEG_1_G076,2029-12-06 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 076,Production Order,2029-12-06
PO-000136:MEP_L_NEG_1_G077,2029-12-06 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 077,Production Order,2029-12-06
PO-000137:MEP_L_NEG_1_G078,2029-12-06 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 078,Production Order,2029-12-06
